
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:D8:66:16:01:11, 2021-03-31 11:16:26, 2021-03-31 11:16:26,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
D8:D8:66:0E:04:E3, 2021-03-31 11:16:44, 2021-03-31 11:16:44, 11, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,   6, Lawash, 
46:E4:EE:04:69:D5, 2021-03-31 11:15:53, 2021-03-31 11:16:47,  6, 130, WPA2, CCMP, PSK, -87,       18,        0,   0.  0.  0.  0,  16, DIRECT-2z-BRAVIA, 
20:54:FA:9D:D4:DA, 2021-03-31 11:15:53, 2021-03-31 11:16:50, 10, 130, WPA2 WPA, CCMP TKIP, PSK, -82,       23,        0,   0.  0.  0.  0,  11, BELL4G-D4DA, 
D8:D8:66:14:61:02, 2021-03-31 11:15:53, 2021-03-31 11:16:48,  6, 130, WPA2, CCMP, PSK, -81,       47,        0,   0.  0.  0.  0,  13, Dialog 4G 258, 
F0:C8:50:4B:EA:3F, 2021-03-31 11:15:51, 2021-03-31 11:16:49,  7, 270, WPA2, CCMP TKIP, PSK, -76,       82,        7,   0.  0.  0.  0,   9, Dialog 4G, 
F4:CB:52:65:A4:5A, 2021-03-31 11:15:53, 2021-03-31 11:16:48,  6, 270, WPA2, CCMP TKIP, PSK, -61,       74,        9,   0.  0.  0.  0,   9, Dialog 4G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
40:9F:38:18:6F:AA, 2021-03-31 11:15:50, 2021-03-31 11:16:50, -94,       33, (not associated) ,illuminate4G
0C:70:4A:AC:47:7B, 2021-03-31 11:16:25, 2021-03-31 11:16:47, -66,        8, F4:CB:52:65:A4:5A,
82:F4:F4:C2:9F:01, 2021-03-31 11:16:40, 2021-03-31 11:16:40, -51,        1, F4:CB:52:65:A4:5A,
3C:A0:67:69:F3:E7, 2021-03-31 11:16:11, 2021-03-31 11:16:47, -32,       11, F4:CB:52:65:A4:5A,

